date,pollster,publisher,sample,Likud,Yesh Atid,Blue & White,Joint List,Shas,UTJ,Yisrael Beiteinu,Meretz,Ra'am,Yamina,New Hope,Labor,Religious Zionist,New Economic,YB,NEP,RZ,Israelis,Yesh Atid -Telem,Labor- Meretz,B&W,Labor+ Israelis+ Tnufa,RZ+ JH+ OY,NH,RZ +Otzma +Noam,Labor+ Israelis,Labor +Israelis +Tnufa +NEP +Telem,Yesh Atid +Israelis,Israelis +Labor,Israelis +Labor +Telem +Tnufa,RZ +OY,Yesh Atid +Labor +Israelis +Tnufa +NEP +B&W,Yesh Atid- Telem +Israelis,New Hope +Yamina,Yesh Atid +Labor +Shelah +Israelis +Meretz,Labor +Shelah +Huldai +Nissenkorn,Huldai,"Huldai, Eizenkot & Ya'alon",Eizenkot & Huldai,Eizenkot,Shasha- Biton,Shulman
2021-03-02,Maagar Mohot,Channel 20,,29.0,18.0,5.0,10.0,8.0,7.0,7.0,4.0,,10.0,13.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,Midgam/iPanel,Channel 12,,28.0,19.0,5.0,9.0,8.0,6.0,7.0,,,12.0,14.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,Direct Polls,–,,29.0,18.0,6.0,8.0,8.0,7.0,9.0,,,13.0,11.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,Kantar,Kan 11,,29.0,20.0,5.0,8.0,7.0,7.0,7.0,,4.0,11.0,12.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,Panels Politics,Maariv,,27.0,20.0,4.0,8.0,8.0,7.0,9.0,4.0,,12.0,12.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,Midgam/iPanel,Channel 12,,29.0,20.0,5.0,9.0,8.0,7.0,7.0,,,12.0,12.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,Maagar Mohot,Israel Hayom,,29.0,17.0,5.0,10.0,8.0,7.0,7.0,4.0,4.0,10.0,11.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,Panels Politics,103fm,,28.0,20.0,5.0,8.0,8.0,6.0,8.0,4.0,,12.0,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,Camil Fuchs,Channel 13,,29.0,20.0,4.0,8.0,6.0,7.0,7.0,4.0,4.0,11.0,9.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,Maagar Mohot,Israel Hayom,,30.0,18.0,5.0,9.0,8.0,7.0,7.0,4.0,,11.0,10.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,Kantar,Kan 11,,29.0,19.0,5.0,8.0,8.0,7.0,7.0,,4.0,12.0,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,Camil Fuchs,Channel 13,,28.0,20.0,4.0,8.0,6.0,7.0,7.0,4.0,4.0,11.0,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,Panels Politics,103fm,,28.0,20.0,4.0,8.0,7.0,7.0,7.0,4.0,4.0,11.0,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,Midgam/iPanel,Channel 12,,30.0,18.0,4.0,8.0,8.0,7.0,7.0,4.0,4.0,10.0,10.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,Panels Politics,Maariv,,30.0,19.0,5.0,8.0,8.0,6.0,8.0,4.0,4.0,10.0,8.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,Direct Polls,–,,32.0,17.0,7.0,7.0,9.0,7.0,9.0,4.0,4.0,8.0,7.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,Kantar,Kan 11,,31.0,19.0,4.0,8.0,8.0,7.0,7.0,4.0,4.0,9.0,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,Smith,Mako,,31.0,19.0,4.0,8.0,8.0,7.0,7.0,4.0,4.0,9.0,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,Maagar Mohot,Israel Hayom,,29.0,18.0,4.0,10.0,9.0,7.0,8.0,5.0,,10.0,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,Midgam/iPanel,Channel 12,,32.0,18.0,4.0,8.0,8.0,7.0,7.0,4.0,4.0,9.0,9.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,Camil Fuchs,Channel 13,,30.0,18.0,4.0,8.0,8.0,7.0,6.0,4.0,4.0,10.0,10.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,Kantar,Kan 11,,30.0,18.0,8.0,8.0,9.0,7.0,7.0,6.0,0.0,7.0,6.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,Midgam/iPanel,Channel 12,,30.0,18.0,7.0,9.0,9.0,6.0,7.0,7.0,0.0,7.0,6.0,8.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,Camil Fuchs,Channel 13,,32.0,16.0,8.0,8.0,8.0,7.0,8.0,7.0,0.0,7.0,5.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
